"data";"receita_com_operacoes_de_credito_e_repasses";"receita_com_titulos_e_valores_mobiliarios";"despesas_de_captacao";"produto_da_intermediacao_financeira";"provisao_para_risco_de_credito_prc";"resultado_da_intermediacao_financeira";"resultado_com_participacoes_societarias";"receita_de_dividendos_e_juros_sobre_o_capital_proprio";"resultado_com_equivalencia_patrimonial";"reversao_constituicao_de_provisao_para_ajuste_de_investimentos";"resultado_com_alienacoes_de_titulos_de_renda_variavel";"resultado_com_derivativos_renda_variavel";"resultado_com_fundos_participacoes_societarias";"outras_rendas_despesas_sobre_participacoes_societarias";"despesas_de_pessoal";"despesas_administrativas";"despesas_tributarias";"outras_despesas_liquidas";"resultado_antes_da_tributacao";"tributos_sobre_o_lucro";"participacao_nos_lucros";"lucro_liquido"
"2002-03-31";2083;608;-2129;562;-197;365;199;45;135;0;19;0;0;0;-72;-25;-42;-19;406;-112;0;294
"2002-06-30";4820;477;-4401;896;-569;327;838;233;141;5;459;0;0;0;-147;-49;-101;-66;802;-226;0;576
"2002-09-30";14126;2246;-14164;2208;-1283;925;1076;277;42;-5;762;0;0;0;-222;-79;-208;-220;1272;-646;0;626
"2002-12-31";12289;1986;-10089;4186;-2641;1545;1394;515;-141;-9;1049;0;0;-20;-347;-108;-321;-194;1969;-1390;-29;550
"2003-03-31";3352;652;-3257;747;-930;-183;173;232;-48;3;0;0;0;-14;-99;-25;-56;47;-143;-227;0;-370
"2003-06-30";6627;1167;-6259;1535;-3702;-2167;274;363;37;-87;-10;0;0;-29;-198;-50;-115;373;-1883;-518;0;-2401
"2003-09-30";9974;1869;-9463;2380;-4069;-1689;620;397;334;-93;25;0;0;-43;-305;-79;-178;372;-1259;-687;0;-1946
"2003-12-31";13221;2625;-12435;3411;-1880;1531;1152;733;275;-296;815;0;0;-375;-450;-112;-314;139;1946;-867;-41;1038
"2004-03-31";3578;516;-3156;938;-504;434;416;340;60;22;0;0;0;-6;-120;-25;-81;-47;577;522;0;1099
"2004-06-30";6614;1264;-6009;1869;-695;1174;429;514;-36;-62;24;0;0;-11;-224;-55;-149;-40;1135;272;0;1407
"2004-09-30";10031;2071;-9211;2891;-672;2219;885;583;75;-93;342;0;0;-22;-349;-87;-262;-18;2388;-137;0;2251
"2004-12-31";13405;2365;-12302;3468;-1638;1830;1516;1014;319;-142;349;0;0;-24;-676;-120;-339;-334;1877;-316;-63;1498
"2005-03-31";3384;1492;-2973;1903;25;1928;409;258;69;-11;99;0;0;-6;-100;-24;-111;90;2192;-782;0;1410
"2005-06-30";6771;1581;-6071;2281;200;2481;846;608;187;-51;113;0;0;-11;-223;-54;-211;-260;2579;-748;0;1831
"2005-09-30";10019;2210;-9103;3126;186;3312;1226;722;397;-76;204;0;0;-21;-372;-122;-284;-320;3440;-973;0;2467
"2005-12-31";13842;3426;-12320;4948;-845;4103;2572;1077;412;-393;1511;0;0;-35;-535;-166;-661;-467;4846;-1582;-62;3202
"2006-03-31";3225;678;-2873;1030;112;1142;981;369;20;-15;613;0;0;-6;-130;-27;-113;121;1974;-578;0;1396
"2006-06-30";6339;1759;-6248;1850;350;2200;2580;1025;235;-18;1350;0;0;-12;-255;-61;-213;286;4537;-1220;0;3317
"2006-09-30";9635;2698;-9025;3308;1096;4404;3143;1187;529;-187;1650;0;0;-36;-385;-100;-342;667;7387;-1671;0;5716
"2006-12-31";12967;3601;-11724;4844;1052;5896;3521;1751;679;-280;1502;0;0;-131;-554;-147;-515;320;8521;-2115;-75;6331
"2007-03-31";3163;535;-2570;1128;353;1481;1017;104;224;-29;744;0;0;-26;-127;-28;-84;-54;2205;-657;0;1548
"2007-06-30";7058;1192;-5134;3116;1248;4364;2260;578;394;0;1340;0;0;-52;-260;-61;-211;-117;5975;-1545;0;4430
"2007-09-30";10238;1572;-7921;3889;2826;6715;3582;900;896;46;1820;0;0;-80;-397;-97;-298;-194;9311;-2027;0;7284
"2007-12-31";13695;1845;-10758;4782;1383;6165;6104;1388;1102;-8;3730;0;0;-108;-573;-162;-495;-993;10046;-2663;-69;7314
"2008-03-31";3404;329;-2916;817;54;871;311;147;-101;37;228;0;0;0;-202;-36;-96;-705;143;6;0;149
"2008-06-30";7208;927;-6081;2054;415;2469;4786;777;-64;36;4036;0;0;1;-383;-80;-198;-881;5713;-1582;0;4131
"2008-09-30";11083;1266;-9163;3186;561;3747;5871;943;378;37;4513;0;0;0;-511;-124;-298;-1616;7069;-1950;0;5119
"2008-12-31";15273;1804;-13226;3851;445;4296;6024;2058;6;-678;4614;0;0;24;-724;-206;-455;-1599;7336;-1969;-54;5313
"2009-03-31";4442;1012;-4076;1378;-268;1110;148;359;97;-308;0;0;0;0;-203;-43;-84;-83;845;-428;0;417
"2009-06-30";8784;1980;-8114;2650;-1059;1591;1324;1121;438;-307;72;0;0;0;-388;-102;-185;-684;1556;-854;0;702
"2009-09-30";13287;3745;-12635;4397;191;4588;2486;1640;754;-310;402;0;0;0;-567;-176;-393;-1454;4484;-1421;0;3063
"2009-12-31";18600;5087;-17866;5821;-6;5815;3990;2426;778;-374;1159;0;0;1;-919;-274;-547;993;9058;-2237;-86;6735
"2010-03-31";5542;1151;-5606;1087;-100;987;1013;277;-20;0;756;0;0;0;-200;-45;-78;7;1684;-768;0;916
"2010-06-30";11390;4033;-12382;3041;2101;5142;2252;1154;191;-104;716;295;0;0;-444;-108;-256;-38;6548;-2284;0;4264
"2010-09-30";17833;5476;-18750;4559;1860;6419;3546;1574;-194;-104;2270;0;0;0;-642;-197;-374;10;8762;-3285;0;5477
"2010-12-31";25332;7653;-25946;7039;2852;9891;6158;2304;439;-144;3238;351;0;-30;-977;-307;-592;185;14358;-4286;-159;9913
"2011-03-31";7104;1306;-7033;1377;395;1772;1676;511;262;-1;734;170;0;0;-181;-101;-143;-27;2996;-807;0;2189
"2011-06-30";14250;2661;-14158;2753;853;3606;4562;2067;713;-130;1582;330;0;0;-431;-195;-308;-1;7233;-1954;0;5279
"2011-09-30";21735;4421;-21851;4305;1615;5920;5400;2963;1217;-124;1592;-248;0;0;-686;-322;-453;51;9910;-2044;0;7866
"2011-12-31";29907;6184;-29603;6488;717;7205;6962;4169;1213;-126;1731;-23;0;-2;-1030;-463;-653;43;12064;-2896;-120;9048
"2012-03-31";8069;2426;-8338;2157;-31;2126;657;65;-75;-179;367;479;0;0;-275;-90;-105;-166;2147;-885;0;1262
"2012-06-30";16811;4547;-17469;3889;-320;3569;2027;1725;-186;-175;774;-168;0;57;-544;-208;-305;-125;4414;-1705;0;2709
"2012-09-30";24944;7702;-25737;6909;-417;6492;2578;1970;-123;-216;1128;-247;0;66;-826;-328;-456;-592;6868;-2146;0;4722
"2012-12-31";33661;12686;-34439;11908;-330;11578;2643;2765;-143;-1093;1718;-548;0;-56;-1178;-460;-744;-694;11145;-2874;-145;8126
"2013-03-31";8278;1921;-7649;2550;155;2705;720;78;-76;9;159;337;104;109;-343;-95;-162;-67;2758;-1173;0;1585
"2013-06-30";16962;3294;-15305;4951;75;5026;1779;1999;-102;-795;291;187;76;123;-650;-200;-437;-103;5415;-2154;0;3261
"2013-09-30";25914;5176;-23744;7346;225;7571;1850;2198;-397;-1168;916;-61;239;123;-982;-334;-582;-128;7395;-2509;0;4886
"2013-12-31";35234;8926;-32469;11691;769;12460;2452;2781;-51;-2045;1235;73;325;134;-1261;-452;-880;-124;12195;-3871;-174;8150
"2014-03-31";9479;2189;-8824;2844;207;3051;353;80;-87;-123;-23;425;81;0;-344;-134;-172;-149;2605;-1050;0;1555
"2014-06-30";19281;4423;-17827;5877;121;5998;3703;2634;342;-336;289;657;117;0;-681;-230;-504;-227;8059;-2588;0;5471
"2014-09-30";29408;6339;-26444;9303;189;9492;4263;2716;567;-516;448;896;152;0;-1019;-370;-704;-409;11253;-3854;0;7399
"2014-12-31";40617;8632;-35800;13449;-65;13384;2865;3273;765;-2814;1721;-181;102;-1;-1376;-501;-968;-178;13226;-4391;-241;8594
"2015-03-31";11996;2864;-10554;4306;-393;3913;-373;31;259;-599;316;-317;-63;0;-309;-129;-258;334;3178;-1593;0;1585
"2015-06-30";25083;6668;-21981;9770;-480;9290;105;338;218;-1155;974;-259;-47;36;-752;-242;-527;-107;7767;-4252;0;3515
"2015-09-30";39060;8777;-32655;15182;-667;14515;-1186;369;808;-3310;1418;-430;-79;38;-1125;-377;-883;39;10983;-4344;0;6639
"2015-12-31";53876;13398;-47115;20159;-1468;18691;-5407;612;1310;-9736;1629;-295;-123;1196;-1605;-508;-1167;-236;9768;-3271;-298;6199
"2016-03-31";14288;5628;-14255;5661;-871;4790;-22;9;119;-361;446;-166;-69;0;-381;-144;-255;-232;3756;-2158;0;1598
"2016-06-30";28365;11883;-28013;12235;-4438;7797;-4924;256;-198;-5150;619;-641;-76;266;-795;-283;-578;-248;969;-3143;0;-2174
"2016-09-30";42618;18809;-42259;19168;-7008;12160;-4103;378;563;-5270;623;-513;-126;242;-1202;-399;-917;-514;5025;-786;0;4239
"2016-12-31";56950;25843;-56946;25847;-9156;16691;-3431;562;858;-5317;896;-459;-147;176;-1695;-525;-1264;-774;9002;-2375;-235;6392
"2017-03-31";12796;4218;-12503;4511;-3316;1195;1087;32;271;-246;651;2;114;263;-407;-99;-211;-205;1360;-987;0;373
"2017-06-30";24694;7963;-24319;8338;-4769;3569;1418;577;70;-377;729;-32;150;301;-887;-216;-462;-272;3150;-1805;0;1345
"2017-09-30";36421;11942;-35954;12409;-5637;6772;2889;628;615;-635;1663;137;216;265;-1351;-311;-700;-302;6997;-3795;0;3202
"2017-12-31";47811;15024;-47866;14969;-6702;8267;5130;926;290;-628;3675;331;284;252;-1792;-439;-984;-457;9725;-3206;-336;6183
"2018-03-31";10410;2952;-10796;2566;361;2927;1511;215;123;55;860;324;-50;-16;-463;-109;-194;108;3780;-1716;0;2064
"2018-06-30";20727;6886;-21078;6535;-81;6454;4102;480;-53;467;3008;209;47;-56;-873;-206;-499;148;9126;-4366;0;4760
"2018-09-30";30883;9899;-30640;10142;-1681;8461;5762;1222;184;467;3650;259;51;-71;-1337;-302;-779;97;11902;-5539;0;6363
"2018-12-31";40938;11832;-40439;12331;-5898;6433;9857;2500;486;460;6171;291;195;-246;-1807;-442;-1111;-926;12004;-5204;-89;6711
"2019-03-31";9622;3171;-9079;3714;1084;4798;12474;11;1052;0;10157;-203;7;1450;-474;-108;-362;-41;16287;-5209;0;11078
"2019-06-30";19748;6402;-18190;7960;1161;9121;13469;698;979;0;10392;-53;-20;1473;-1022;-192;-604;-92;20680;-6872;0;13808
"2019-09-30";28068;9161;-25813;11416;318;11734;14738;1096;1607;4;10656;-107;21;1461;-1502;-285;-835;-327;23523;-7013;0;16510
"2019-12-31";36051;8501;-34152;10400;348;10748;16258;1886;1806;-358;11354;82;55;1433;-1980;-390;-1047;-313;23277;-5374;-181;17721
"2020-03-31";8326;2661;-6896;4090;-1701;2389;8473;917;-69;-2;8099;-579;115;-8;-492;-78;-342;-103;9848;-4304;0;5544
"2020-06-30";14656;4012;-11613;7055;-2271;4784;7368;946;-1289;-367;8030;-151;212;-13;-970;-143;-509;-680;9850;-4888;0;4962
"2020-09-30";22023;5916;-17000;10939;-1801;9138;16455;1884;9;-360;15067;-410;282;-17;-1505;-214;-1086;-711;22077;-8389;0;13688
"2020-12-31";30943;7012;-25140;12815;-946;11869;25041;2167;420;-632;22683;364;419;-380;-1990;-284;-1660;-1157;31819;-10888;-250;20681
"2021-03-31";9156;2436;-7180;4412;432;4844;11670;742;1021;-7;10586;-249;-216;-207;-489;-71;-907;-60;14987;-5179;0;9808
"2021-06-30";18009;7934;-14906;11037;1044;12081;14041;2045;1418;-12;11082;-54;-127;-311;-957;-150;-1343;-194;23478;-8362;0;15116
"2021-09-30";27626;10979;-23176;15429;1743;17172;23954;4120;3172;5451;11118;-132;410;-185;-1502;-229;-1634;-351;37410;-11039;0;26371
"2021-12-31";39247;14276;-33640;19883;2719;22602;30556;7787;4277;5272;12758;-151;530;83;-2056;-351;-1984;-645;48122;-13799;-254;34069
"2022-03-31";10910;4336;-10316;4930;259;5189;14851;3188;653;-26;1864;139;62;8971;-561;-76;-303;-191;18909;-6007;0;12902
"2022-06-30";25079;13134;-23542;14671;2105;16776;21025;7932;660;-27;3552;-189;38;9059;-1125;-168;-790;-1338;34380;-9764;0;24616
"2022-09-30";34273;17779;-32471;19581;1587;21168;28960;14929;722;-27;3553;560;168;9055;-1674;-247;-1091;-1469;45648;-11446;0;34202
"2022-12-31";44038;22071;-40937;25172;2182;27354;33298;19178;770;-32;3589;560;184;9049;-2329;-331;-1458;-1971;54563;-12543;-277;41743
"2023-03-31";12508;689;-10942;2255;2826;5081;2331;2409;-6;-3;0;-147;83;-5;-608;-111;-245;-523;5925;-1962;0;3963
"2023-06-30";24828;3593;-22103;6318;3573;9891;5829;5534;27;-3;1;-147;427;-9;-1158;-196;-536;-506;13324;-3821;0;9502
"2023-09-30";35102;8164;-30664;12602;3831;16433;7511;6996;33;-2;149;-148;496;-13;-1761;-278;-932;-635;20338;-5890;0;14448
"2023-12-31";45856;10933;-39302;17487;5627;23114;9114;8547;52;-3;161;-148;525;-20;-2432;-426;-1221;-1375;26774;-4580;-291;21903
"2024-03-31";12285;4045;-10325;6005;777;6782;1538;1169;81;0;9;0;284;-5;-675;-107;-332;-424;6782;-1545;0;5237
"2024-06-30";23949;8564;-20453;12060;1723;13783;4975;4338;76;-37;32;1;452;113;-1334;-203;-773;-944;15503;-2169;0;13335
"2024-09-30";35364;12365;-30489;17240;3112;20352;7501;6568;252;-39;87;0;523;110;-1981;-300;-1119;-1631;22822;-3838;0;18984
